160.85.31.173,443,mami-project.eu,1
139.133.210.32,443,erg.abdn.ac.uk,2
129.132.52.158,443,ecn.ethz.ch,4
139.133.1.4,443,abdn.ac.uk,6
172.217.21.238,443,google.com,7
